gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,sig,gene_type,m6A_ESC_mm,m6A_ESC_mm_num,m6A_ESC_mm_bin
Lncenc1,2247.6376078260146,-4.137545023358587,0.11413008607494438,-36.25288620777555,8.94914323088478e-288,1.5467699160261254e-283,down,lncRNA,m6A,25,5+ m6A
Gm15459,3415.3562030806997,-4.201078243738412,0.11838726742475925,-35.48589586636416,8.112156367174919e-276,7.010525532512565e-272,down,processed_pseudogene,non-m6A,0,0 m6A
Col18a1,1819.3403762881976,-3.355858512500013,0.09977033725099509,-33.635834106259296,5.02371534266508e-248,2.8943298660874414e-244,down,protein_coding,m6A,5,5+ m6A
Noct,1532.3245200634021,3.8641740851608963,0.11710611480744176,32.997201653515525,8.908877949359137e-239,3.849526161918083e-235,up,protein_coding,m6A,20,5+ m6A
Nynrin,3044.482668122914,-2.3387631703458918,0.07173623148537964,-32.60225860655293,3.8098202482757127e-233,1.3169786634239484e-229,down,protein_coding,m6A,26,5+ m6A
Fstl1,3097.449066285932,-2.852263531684194,0.093998816918418035,-30.343610964377195,3.0506818227993576e-202,8.787997437544016e-199,down,protein_coding,m6A,2,2-4 m6A
Plagl1,1322.5963785646652,-4.288119817237436,0.14613008243848724,-29.344538411811953,2.80543758221974e-189,6.927026167297998e-186,down,protein_coding,m6A,7,5+ m6A
Ccng1,5956.498782189513,-1.719910675782337,0.06097780985123879,-28.205517383753598,5.003931000624021e-175,1.0810992926848198e-171,down,protein_coding,m6A,7,5+ m6A
Ddx3y,601.4410461727858,5.751546060693671,0.20778996659011306,27.679613963455623,1.2287440206391065e-168,2.359734628080702e-165,up,protein_coding,m6A,1,1 m6A
Fam25c,1120.3686538412576,-3.5170979084336973,0.12962875702446272,-27.13208079106994,4.1206834211155316e-162,7.122189225056085e-159,down,protein_coding,non-m6A,0,0 m6A
Mcf2,1298.9942902324692,-3.3869802706554744,0.12499093081600957,-27.097808205310606,1.0449758291936265e-161,1.641942021071149e-158,down,protein_coding,m6A,2,2-4 m6A
Klf5,9282.424700060017,-2.164891751545833,0.08008704691739696,-27.031734030332476,6.2633231152361076e-161,9.021273060311739e-158,down,protein_coding,m6A,21,5+ m6A
B4galt6,2735.6607499437523,-2.2152524206887136,0.08235402350625569,-26.899140155798715,2.247674768847897e-159,2.98837005421285e-156,down,protein_coding,m6A,16,5+ m6A
Eif2s3y,452.04085835460216,5.710391200170328,0.22532468551438778,25.342945390711304,1.074886250781769e-141,1.3270238541794355e-138,up,protein_coding,non-m6A,0,0 m6A
Sept1,1732.206434619344,-2.4851834757472866,0.10000341426335808,-24.850986279354206,2.523158734406128e-136,2.907351704365034e-133,down,protein_coding,non-m6A,0,0 m6A
Manba,938.676173433397,-2.9919992935470265,0.12067177080426952,-24.794525460308947,1.0270666772281723e-135,1.1094887780757332e-132,down,protein_coding,m6A,8,5+ m6A
Trpm1,1081.8376624279763,-3.4349281877027167,0.1386662412282115,-24.771192737889574,1.8328953416658548e-135,1.8635154756089784e-132,down,protein_coding,non-m6A,0,0 m6A
Cald1,2376.241996813879,-2.93516983821366,0.12502554437735683,-23.476561152612295,7.080322492628387e-122,6.798682997921613e-119,down,protein_coding,m6A,5,5+ m6A
Gpa33,968.2196469507126,-2.719013920767706,0.11607218604185059,-23.425197831523114,2.3665466314458136e-121,2.152810104100497e-118,down,protein_coding,m6A,10,5+ m6A
Mme,2633.5352702413966,-2.286860448768527,0.09891825015152653,-23.118690891371735,3.003600117649282e-118,2.5957112216725096e-115,down,protein_coding,m6A,4,2-4 m6A
Rnf17,1646.3375117907258,-2.340439906010573,0.10225506017450571,-22.88825513394097,6.082672504522206e-116,5.0063291222934193e-113,down,protein_coding,non-m6A,0,0 m6A
A4galt,2549.2902531402465,2.095304954225007,0.09281252707627052,22.57566968845864,7.51625413960799e-113,5.905042570408387e-110,up,protein_coding,m6A,18,5+ m6A
