gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,sig,gene_type,m6A_ESC_mm,m6A_ESC_mm_num,m6A_ESC_mm_bin
Lncenc1,2247.6376078260146,-4.137545023358587,0.1141300860749443,-36.25288620777555,8.94914323088478e-288,1.5467699160261254e-283,down,lncRNA,m6A,25,5+ m6A
Col18a1,1819.3403762881976,-3.355858512500013,0.099770337250995,-33.635834106259296,5.02371534266508e-248,2.894329866087441e-244,down,protein_coding,m6A,5,5+ m6A
Noct,1532.324520063402,3.864174085160896,0.1171061148074417,32.997201653515525,8.908877949359138e-239,3.8495261619180835e-235,up,protein_coding,m6A,20,5+ m6A
Nynrin,3044.482668122914,-2.338763170345892,0.0717362314853796,-32.60225860655293,3.809820248275713e-233,1.3169786634239483e-229,down,protein_coding,m6A,26,5+ m6A
Fstl1,3097.449066285932,-2.852263531684194,0.093998816918418,-30.343610964377195,3.050681822799357e-202,8.787997437544016e-199,down,protein_coding,m6A,2,2-4 m6A
Plagl1,1322.5963785646652,-4.288119817237436,0.1461300824384872,-29.344538411811957,2.80543758221974e-189,6.9270261672979975e-186,down,protein_coding,m6A,7,5+ m6A
Ccng1,5956.498782189513,-1.719910675782337,0.0609778098512387,-28.2055173837536,5.003931000624021e-175,1.0810992926848198e-171,down,protein_coding,m6A,7,5+ m6A
Ddx3y,601.4410461727858,5.751546060693671,0.207789966590113,27.679613963455623,1.2287440206391065e-168,2.359734628080702e-165,up,protein_coding,m6A,1,1 m6A
Mcf2,1298.9942902324692,-3.3869802706554744,0.1249909308160095,-27.097808205310606,1.0449758291936263e-161,1.641942021071149e-158,down,protein_coding,m6A,2,2-4 m6A
Klf5,9282.424700060015,-2.164891751545833,0.0800870469173969,-27.03173403033248,6.2633231152361076e-161,9.021273060311739e-158,down,protein_coding,m6A,21,5+ m6A
B4galt6,2735.6607499437523,-2.2152524206887136,0.0823540235062556,-26.899140155798715,2.2476747688478968e-159,2.9883700542128496e-156,down,protein_coding,m6A,16,5+ m6A
Manba,938.676173433397,-2.9919992935470265,0.1206717708042695,-24.794525460308947,1.0270666772281723e-135,1.1094887780757332e-132,down,protein_coding,m6A,8,5+ m6A
Cald1,2376.241996813879,-2.93516983821366,0.1250255443773568,-23.47656115261229,7.080322492628386e-122,6.798682997921613e-119,down,protein_coding,m6A,5,5+ m6A
Gpa33,968.2196469507126,-2.719013920767706,0.1160721860418505,-23.425197831523118,2.3665466314458136e-121,2.152810104100497e-118,down,protein_coding,m6A,10,5+ m6A
Mme,2633.5352702413966,-2.286860448768527,0.0989182501515265,-23.11869089137173,3.003600117649282e-118,2.59571122167251e-115,down,protein_coding,m6A,4,2-4 m6A
A4galt,2549.2902531402465,2.095304954225007,0.0928125270762705,22.57566968845864,7.51625413960799e-113,5.905042570408388e-110,up,protein_coding,m6A,18,5+ m6A
Jam2,6668.919911177502,-1.6547570555560425,0.0734415747459966,-22.531611846275737,2.0341812630038927e-112,1.5286429978156212e-109,down,protein_coding,m6A,11,5+ m6A
Etl4,3705.051002590509,-1.4906974104180228,0.0661998375055124,-22.518143043687875,2.7568043258882427e-112,1.9853585820271826e-109,down,protein_coding,m6A,16,5+ m6A
Polr1b,2535.0391647879733,1.6683475164050254,0.0775250851535931,21.520099115011423,1.0094645819555526e-102,6.979034333807909e-100,up,protein_coding,m6A,13,5+ m6A
Cavin1,595.9288368975637,-3.488112454590929,0.163517364651589,-21.33175557240142,5.760490682230002e-101,3.8293969596793604e-98,down,protein_coding,m6A,2,2-4 m6A
Auts2,1440.8271982697063,2.3933220550829906,0.1141538152309398,20.96576492201473,1.3473776613820946e-97,8.625213147899304e-95,up,protein_coding,m6A,6,5+ m6A
Usp10,4051.89234877169,1.3725479569869037,0.066661234748589,20.58989699430905,3.3808687399902353e-94,2.0869619750711157e-91,up,protein_coding,m6A,17,5+ m6A
Txnl4a,863.3768475679547,2.336046056215857,0.1139241210071613,20.50528049339973,1.93152813310393e-93,1.1511907673299423e-90,up,protein_coding,m6A,4,2-4 m6A
Ltbp4,939.2745948647508,-2.636120498595249,0.1302770397764817,-20.23472826154233,4.8428832312132323e-91,2.6157623052590473e-88,down,protein_coding,m6A,2,2-4 m6A
Klf2,3821.1316258144966,1.4919272899987646,0.0741005213512847,20.133829867755683,3.7301972825793173e-90,1.95371908582124e-87,up,protein_coding,m6A,10,5+ m6A
Ube2o,2768.9846230703747,1.6973657826252404,0.0853225390013229,19.89352171761932,4.6306093213365983e-88,2.35398386794064e-85,up,protein_coding,m6A,11,5+ m6A
Wtap,3321.7332433156766,1.5447063551264946,0.077757011235152,19.865814420965958,8.043683361379246e-88,3.972200663373682e-85,up,protein_coding,m6A,15,5+ m6A
Lmo7,1315.3778415733725,-2.004461596699678,0.1012525280807299,-19.796657275574344,3.1811521728182527e-87,1.5273065043052965e-84,down,protein_coding,m6A,4,2-4 m6A
