gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,sig,gene_type,m6A_ESC_mm,m6A_ESC_mm_num,m6A_ESC_mm_bin
Apoe,10418.302449640169,-2.6487744717516626,0.0653437705330398,-40.5359906559472,0.0,0.0,down,protein_coding,m6A,4,2-4 m6A
Fbxo15,5958.232400861455,2.485102388020543,0.0673527818450692,36.896803961816914,5.199887129772471e-298,4.4937424575493696e-294,up,protein_coding,m6A,5,5+ m6A
Rhox5,823.0345010955405,4.213532282069107,0.1377970648736227,30.57780864877962,2.4148100284116303e-205,1.3912525510355537e-201,up,protein_coding,m6A,1,1 m6A
Gm16478,542.611457349413,5.999916498217992,0.2168465229280173,27.66895413955832,1.6509975981153735e-168,5.707168497165224e-165,up,processed_pseudogene,m6A,1,1 m6A
Usp17le,562.8886870011092,6.613709262938713,0.2459272160839765,26.892953810693054,2.65518372598518e-159,7.648699253321308e-156,up,protein_coding,m6A,1,1 m6A
Gm12183,614.2337735702357,3.7846934518509614,0.1429774054727238,26.47057022288028,2.1155468606617033e-154,4.570638992459609e-151,up,processed_pseudogene,m6A,4,2-4 m6A
Gm8300,471.4001832422952,5.46156468937988,0.2076289549969489,26.30444626309532,1.7057725786604849e-152,3.275841472174203e-149,up,protein_coding,m6A,2,2-4 m6A
Nelfa,1870.1611994203224,2.045050888897318,0.0805687329218012,25.38268649306193,3.916865048165861e-142,6.154463226590795e-139,up,protein_coding,m6A,1,1 m6A
Rimklb,1606.3523768677735,2.466537602831273,0.0977499833941632,25.233125543206505,1.7351384998551402e-140,2.306933371653557e-137,up,protein_coding,m6A,5,5+ m6A
Nynrin,3044.482668122914,-1.736126820667525,0.0691953928935213,-25.09020829376741,6.361095068022543e-139,7.85322622540726e-136,down,protein_coding,m6A,26,5+ m6A
Zscan4a,422.46123446496216,5.216628822705889,0.2173306663192747,24.003187912019182,2.575608080664925e-127,2.782300629138285e-124,up,unprocessed_pseudogene,m6A,2,2-4 m6A
Pdpn,785.1320706051051,3.0579110177366955,0.1277014957697599,23.945772908173076,1.0226343806276491e-126,1.0397183902804875e-123,up,protein_coding,m6A,6,5+ m6A
Sord,598.2719491598243,3.1873692415356905,0.1357023775506502,23.487939556151257,5.417563222016271e-122,5.202064596073845e-119,up,protein_coding,m6A,1,1 m6A
Klf5,9282.424700060015,-1.8076372560684704,0.0796272671143779,-22.701234408458983,4.355925025864747e-114,3.9625162182655945e-111,down,protein_coding,m6A,21,5+ m6A
