gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,sig,gene_type,m6A_ESC_mm,m6A_ESC_mm_num,m6A_ESC_mm_bin
CD81,3129.5331373418053,-1.5720496186514907,0.0776300530163582,-20.250528726551664,3.514476282447227e-91,1.959490582768318e-88,down,protein_coding,non-m6A,0,0 m6A
UBE2O,2768.9846230703747,1.6973657826252404,0.0853225390013229,19.89352171761932,4.6306093213365983e-88,2.35398386794064e-85,up,protein_coding,m6A,11,5+ m6A
WTAP,3321.7332433156766,1.5447063551264946,0.077757011235152,19.865814420965958,8.043683361379246e-88,3.972200663373682e-85,up,protein_coding,m6A,15,5+ m6A
MRPS2,4097.5224116628015,1.2659577110840712,0.0697160050122641,18.15878162928826,1.0942629175271778e-73,3.377364333310668e-71,up,protein_coding,m6A,9,5+ m6A
KTN1,3505.40585940978,-1.5005113285933214,0.0894057074229639,-16.783171587633053,3.240570263244312e-63,7.369739003936143e-61,down,protein_coding,m6A,3,2-4 m6A
MYCBP2,3858.788032057291,-1.2544038955874453,0.0780847049814759,-16.064655631151165,4.51364115358543e-58,8.668197077618953e-56,down,protein_coding,m6A,16,5+ m6A
CLN5,1067.0403368319344,-1.5595179330651965,0.1065604603322643,-14.635052515750129,1.678460405181348e-48,2.1331257090554723e-46,down,protein_coding,m6A,18,5+ m6A
PFN1,2186.190330886845,-1.1817434064808985,0.081180401298358,-14.557003754363064,5.271827504607038e-48,6.416779337297749e-46,down,protein_coding,non-m6A,0,0 m6A
PABPC1,31576.4548815295,-0.8293692442292473,0.0595205602963507,-13.93416392755458,3.927728312052618e-44,4.1143549179101476e-42,down,protein_coding,non-m6A,0,0 m6A
PRDX1,9171.536235568365,-0.9281497570861356,0.0670580803168915,-13.840983110462538,1.4422053181121991e-43,1.4492486464099562e-41,down,protein_coding,non-m6A,0,0 m6A
EIF2S2,12768.981902873178,-0.9617693662065868,0.0696358198756157,-13.811417283870709,2.1750965052212722e-43,2.1482495997853982e-41,down,protein_coding,m6A,4,2-4 m6A
EPM2AIP1,967.4406178660404,-1.4804793867468216,0.1076762540378607,-13.749358203214062,5.1383316398362876e-43,4.906680887454717e-41,down,protein_coding,m6A,27,5+ m6A
MRPL46,721.3462771820318,1.6172901994546922,0.11836520186834,13.663561367078444,1.6758305837815465e-42,1.516495068590589e-40,up,protein_coding,m6A,5,5+ m6A
FBXL3,1230.6673524149571,-1.6597843872531943,0.1216204298005481,-13.647249808072242,2.096421616408453e-42,1.8872162092710254e-40,down,protein_coding,m6A,17,5+ m6A
OGDH,2996.7852184342173,0.90224523390554,0.06658676914177,13.549917581743124,7.931914903561477e-42,6.85476085965783e-40,up,protein_coding,m6A,12,5+ m6A
GSS,1413.2459750232647,-1.3444503886024506,0.0992462009390141,-13.546618166559366,8.296525307760137e-42,7.134186239767473e-40,down,protein_coding,non-m6A,0,0 m6A
UBR4,13319.577262226165,-0.640054162821124,0.0491613166860025,-13.01946745871768,9.48299492476588e-39,7.157383592997968e-37,down,protein_coding,m6A,1,1 m6A
FUBP3,3473.2384111923543,-0.8603177417337567,0.0661399096321399,-13.007543350432634,1.1084862143645513e-38,8.330032925685612e-37,down,protein_coding,non-m6A,0,0 m6A
SRSF11,4339.201352625072,-0.8814637331654791,0.0681646382788802,-12.93139310090915,2.993452035318361e-38,2.220550428259337e-36,down,protein_coding,m6A,3,2-4 m6A
RPS15,7342.429743957501,-0.768255275427108,0.0594959073241736,-12.912741564577503,3.8147313814038654e-38,2.817684495563436e-36,down,protein_coding,non-m6A,0,0 m6A
EIF3K,2451.82667336776,-1.0677195770141894,0.0833180203740163,-12.814989749170389,1.3515622893894837e-37,9.733501087419933e-36,down,protein_coding,non-m6A,0,0 m6A
DDB1,16481.0293791813,-0.7676371582222788,0.0607059342811768,-12.64517492913869,1.1895948473621954e-36,7.90806051608007e-35,down,protein_coding,non-m6A,0,0 m6A
TMSB4X,459.8844259356096,-2.3571514176566875,0.187303568727058,-12.584658336604196,2.564499436927312e-36,1.678970010145896e-34,down,protein_coding,m6A,4,2-4 m6A
MSL1,1269.6591799243777,1.105622855327587,0.0894173871245314,12.364741253150113,4.0551499602972637e-35,2.558000434809413e-33,up,protein_coding,m6A,8,5+ m6A
ASXL1,2999.3377656853163,0.8946113509403025,0.0724540013533153,12.347300828532733,5.0373265832122e-35,3.1545345168202766e-33,up,protein_coding,m6A,41,5+ m6A
MRPL43,821.7326428151582,1.4262537345226882,0.1180451465843689,12.082273399553277,1.3104563501017159e-33,7.600646830589954e-32,up,protein_coding,m6A,9,5+ m6A
RPL8,15410.85414343241,-0.9483032741964328,0.0791838912446802,-11.975962020686149,4.748967755087572e-33,2.6823908065010973e-31,down,protein_coding,m6A,1,1 m6A
UBXN1,3108.751293671204,-1.1940759285359992,0.1017034383830462,-11.7407626282874,7.877289682099667e-32,4.32917102101793e-30,down,protein_coding,non-m6A,0,0 m6A
IPO5,11431.249495758531,-0.8060407690908777,0.0689833354483197,-11.684572278978008,1.5284705077337506e-31,8.178973453767847e-30,down,protein_coding,m6A,5,5+ m6A
EIF2D,1745.0861314689198,-0.9872600561607888,0.0847927174984204,-11.64321754611981,2.4846208149529472e-31,1.3092739684648396e-29,down,protein_coding,non-m6A,0,0 m6A
ADH5,2102.940891217518,-0.9154770501530308,0.0791951263135873,-11.559765010387572,6.58888468434328e-31,3.3792962280174856e-29,down,protein_coding,m6A,1,1 m6A
MLEC,7692.574041938797,-0.8340811457841565,0.0725469355515777,-11.497124440096584,1.3638370376429397e-30,6.852488185645513e-29,down,protein_coding,m6A,10,5+ m6A
ZRANB2,2573.8821844557965,-0.9612806218006184,0.0851865901205306,-11.284412493098989,1.5668492254272213e-29,7.419567674598382e-28,down,protein_coding,non-m6A,0,0 m6A
RPL11,3345.10708340952,-0.852391420735308,0.0770259682568846,-11.066286345048589,1.828207341851661e-28,8.25032263617862e-27,down,protein_coding,m6A,1,1 m6A
RCN1,2150.442273666357,-1.011370576886542,0.0917374485396756,-11.024620729986106,2.907414681712198e-28,1.2852111344939548e-26,down,protein_coding,m6A,7,5+ m6A
SOD1,8789.533115179976,-0.7778934821175313,0.0705958259216407,-11.018972750329024,3.095716782065116e-28,1.36495838931667e-26,down,protein_coding,non-m6A,0,0 m6A
LMNA,343.9062035999502,-1.892620695466048,0.1717944433493828,-11.016774806953306,3.172222560872324e-28,1.3951321817332632e-26,down,protein_coding,non-m6A,0,0 m6A
YWHAZ,5037.69703798139,-0.837049815674214,0.0761552401497037,-10.991362039286669,4.205314321929675e-28,1.844788140615038e-26,down,protein_coding,m6A,1,1 m6A
EEF1B2,18612.27723344717,-0.8657801634353345,0.0788436940995049,-10.980969034031732,4.718350468010531e-28,2.0593931689165152e-26,down,protein_coding,non-m6A,0,0 m6A
ZFP36L1,580.8328697045698,-1.7851301068907328,0.1630473222622721,-10.94853986022068,6.752734292566376e-28,2.932519083234102e-26,down,protein_coding,m6A,6,5+ m6A
RPL7A,7518.003459264396,-0.8743716610410477,0.0807954762095336,-10.822037347406262,2.7069213323460208e-27,1.1328433004423398e-25,down,protein_coding,non-m6A,0,0 m6A
ZKSCAN1,1126.40251215114,1.174119944664962,0.1088805385363498,10.783561143693108,4.116345550654879e-27,1.6980171001794492e-25,up,protein_coding,m6A,11,5+ m6A
RPS9,6277.031517674247,-0.8037806184040698,0.0748658750776604,-10.736274939286895,6.876317681536907e-27,2.770402676169788e-25,down,protein_coding,non-m6A,0,0 m6A
MKRN1,4981.541916571904,-0.8121787204243878,0.0757594961207713,-10.720487358174354,8.157237104174677e-27,3.263650141401739e-25,down,protein_coding,m6A,5,5+ m6A
BAG6,3722.081556861071,-0.8037098549932826,0.0756425264834446,-10.625105907444595,2.277535061572312e-26,8.865972073021585e-25,down,protein_coding,non-m6A,0,0 m6A
PCBP1,10735.62486107703,0.7294031039810905,0.0688817157235391,10.58921219251555,3.343942043788497e-26,1.2901047831437587e-24,up,protein_coding,m6A,12,5+ m6A
EXOSC10,1775.016885199674,-0.8889152512939441,0.0845533887372116,-10.51306475789699,7.520896290523308e-26,2.8444457655449643e-24,down,protein_coding,m6A,1,1 m6A
H3F3B,4247.21152094028,-0.9493973214035646,0.0904960060728024,-10.491041125503273,9.497601957599767e-26,3.568620700764226e-24,down,protein_coding,non-m6A,0,0 m6A
UBAP2L,6108.845914945792,-0.6801791919149015,0.0650319640299207,-10.459151927226978,1.3304109115494844e-25,4.9664842754257654e-24,down,protein_coding,non-m6A,0,0 m6A
ARF3,1515.2531046506483,-1.2081354144759482,0.1176448830596798,-10.269340944162236,9.686411352279068e-25,3.416733343118192e-23,down,protein_coding,m6A,2,2-4 m6A
FAU,1978.241369959732,-0.951072349398123,0.0929953117836219,-10.22709995973822,1.4994234027666488e-24,5.193594006697146e-23,down,protein_coding,non-m6A,0,0 m6A
RACK1,13606.13704846,-0.6316472481520531,0.0618797267837835,-10.207660585818628,1.832292424337852e-24,6.321226000450186e-23,down,protein_coding,non-m6A,0,0 m6A
PRELID3B,1139.3136976686458,0.9702400493819582,0.0956706154386748,10.141463446567718,3.61640670984136e-24,1.2304325506475997e-22,up,protein_coding,m6A,3,2-4 m6A
LY6E,1803.695802695157,0.8546276433710506,0.0846238657557122,10.099132623391911,5.5732940636269134e-24,1.885104003830285e-22,up,protein_coding,m6A,1,1 m6A
POP7,260.1731741680248,1.923495922720299,0.1906014370647451,10.09171783981308,6.010827239704458e-24,2.029123789278357e-22,up,protein_coding,non-m6A,0,0 m6A
RPS10,4271.343103521166,-0.7617350532216274,0.075689793320902,-10.06390716370566,7.97682858776094e-24,2.6719283974972887e-22,down,protein_coding,non-m6A,0,0 m6A
PABPC4,2908.0695566914837,-0.8423168417800001,0.0837558669437715,-10.056810018401206,8.573130037997374e-24,2.8605787563078495e-22,down,protein_coding,non-m6A,0,0 m6A
PRPF38A,1953.904889605496,-0.8427900805085247,0.0839549231366423,-10.038602252506694,1.0312503287618476e-23,3.4145844219003403e-22,down,protein_coding,non-m6A,0,0 m6A
FBXO42,1395.2976713227304,0.9284609889407184,0.092840598681142,10.000592436176408,1.514880441481174e-23,4.987274962011545e-22,up,protein_coding,m6A,19,5+ m6A
MRM3,359.0956575676544,1.641556053834436,0.1644551176660671,9.981787597316872,1.831372034733937e-23,6.01776316508391e-22,up,protein_coding,m6A,2,2-4 m6A
YTHDC1,3939.860261600299,0.7083257798196029,0.0711468112689508,9.95583311727034,2.3782248549975145e-23,7.770366426044808e-22,up,protein_coding,m6A,11,5+ m6A
SIAH2,353.38920296342155,1.6021617098166985,0.1625475438278549,9.856572865311696,6.420346673133294e-23,2.05879910757766e-21,up,protein_coding,m6A,6,5+ m6A
ATP6V1B2,2860.317645998859,-0.7678947052873879,0.0784821309930811,-9.784325368982197,1.3146908538839417e-22,4.146554145717161e-21,down,protein_coding,m6A,2,2-4 m6A
RPL36,2587.055450360597,-0.8626565183820256,0.0883803276085321,-9.76073003715304,1.6595623671701234e-22,5.2247497184277615e-21,down,protein_coding,m6A,1,1 m6A
ATXN7L3B,835.7446047728804,-1.2060830975286152,0.1242778965211466,-9.70472731909646,2.878449373359695e-22,8.948042980062764e-21,down,protein_coding,m6A,14,5+ m6A
ATP6V1E1,1482.631069326634,-0.9989610723821064,0.1030363104835925,-9.69523333758326,3.159147319769758e-22,9.785430515215144e-21,down,protein_coding,m6A,2,2-4 m6A
LONP2,825.9094571023373,-1.104067828420383,0.1147475398286598,-9.621712413782197,6.474419945942765e-22,1.973613304156521e-20,down,protein_coding,m6A,1,1 m6A
HERPUD2,687.0639330894147,1.1745875209984995,0.1221010599785268,9.619797905153868,6.596062973969278e-22,2.0036265807044812e-20,up,protein_coding,m6A,13,5+ m6A
UBA1,9109.33884404312,-0.716260162392697,0.0745455455522593,-9.60835630199488,7.371631383458744e-22,2.231370872709298e-20,down,protein_coding,non-m6A,0,0 m6A
COPB2,4220.112603174919,-0.6771747229104804,0.0709868254436197,-9.53944226521746,1.4360251897911769e-21,4.279355065577708e-20,down,protein_coding,m6A,2,2-4 m6A
THAP12,1438.192600997566,0.8275865288035305,0.0868833605682676,9.52525919106528,1.6463057820508668e-21,4.855759238390304e-20,up,protein_coding,m6A,13,5+ m6A
HEXIM1,1485.9004843468867,-0.969488106158289,0.1020139172179561,-9.503488667011432,2.0297385026232e-21,5.966326578118943e-20,down,protein_coding,m6A,20,5+ m6A
COASY,487.4719627095702,1.340575449687647,0.1413833557545637,9.48184772198247,2.4981964042324774e-21,7.281421020363261e-20,up,protein_coding,m6A,1,1 m6A
EEF1G,7720.3955317878945,-0.6410656167662346,0.067624260064361,-9.479817097534283,2.547291671300708e-21,7.412018391710679e-20,down,protein_coding,m6A,2,2-4 m6A
PTRH2,839.4782653884571,1.0987795412610055,0.1160397646338599,9.468991467950511,2.825585412991879e-21,8.194197697676449e-20,up,protein_coding,m6A,9,5+ m6A
TATDN2,1331.24996647223,0.922727139752884,0.0977239786179509,9.442177373480252,3.6511206428480935e-21,1.0482719134715361e-19,up,protein_coding,m6A,8,5+ m6A
SLTM,2883.3950883057378,-0.8470621524898476,0.0903120849074377,-9.379278015317828,6.642601173893202e-21,1.8638103683371772e-19,down,protein_coding,m6A,7,5+ m6A
THAP4,965.5238327244576,1.0745455320892947,0.1148452917366701,9.35646133890391,8.245192690738539e-21,2.294845579174314e-19,up,protein_coding,m6A,10,5+ m6A
COPA,3718.199131599634,-0.8179267911713307,0.0880837202683543,-9.28578843717601,1.6051431799921515e-20,4.362153258330872e-19,down,protein_coding,non-m6A,0,0 m6A
DCTD,816.9750176569797,1.0343011994651372,0.1119614009572932,9.238015875307449,2.5111025943928343e-20,6.728976316509419e-19,up,protein_coding,m6A,2,2-4 m6A
PCYOX1,704.8594339360495,-1.2772329828143387,0.1383309096366523,-9.233171285934503,2.62735468597271e-20,7.029597274357945e-19,down,protein_coding,m6A,14,5+ m6A
RPL10A,2580.7917029310065,-0.7189282054635547,0.0779159687671588,-9.22696870537506,2.783989148883794e-20,7.437166684591575e-19,down,protein_coding,non-m6A,0,0 m6A
RNF11,865.5972693126092,0.9967220829899543,0.1083413536213152,9.199830440311736,3.585150363598733e-20,9.46041815029626e-19,up,protein_coding,m6A,3,2-4 m6A
CEBPZ,3400.162414129827,-0.8074009293489427,0.0881169906395761,-9.162829137588744,5.0554215909398124e-20,1.3100135948696209e-18,down,protein_coding,m6A,14,5+ m6A
RPA1,4528.984229306224,-0.6201266870784319,0.0680908056869888,-9.107348353742989,8.441997824295966e-20,2.164858907939636e-18,down,protein_coding,m6A,4,2-4 m6A
TMX3,1356.0248948295443,1.1528784405462085,0.1270711007683462,9.07270365626197,1.1609971764319061e-19,2.9423277415614463e-18,up,protein_coding,m6A,5,5+ m6A
HNRNPC,8792.468441024866,-0.5341512444271378,0.0590773587821015,-9.041555943576949,1.544573819929793e-19,3.897286701265188e-18,down,protein_coding,non-m6A,0,0 m6A
SYF2,1244.3095359326596,-0.9726532984912094,0.1082286769622448,-8.987020129891416,2.5402411392725624e-19,6.290190236559737e-18,down,protein_coding,non-m6A,0,0 m6A
